date,Open,High,Low,price_usd,volume_usd,crypto,source
24-03-2018,8898.04,8999.95,8491.0,8546.86,35466.609572,BTC,Binance CSV
25-03-2018,8531.25,8669.85,8365.77,8470.15,29001.769316,BTC,Binance CSV
26-03-2018,8470.14,8514.89,7831.0,8134.23,44033.59566,BTC,Binance CSV
27-03-2018,8134.22,8215.94,7730.0,7795.51,37427.64805,BTC,Binance CSV
28-03-2018,7795.51,8109.0,7728.0,7949.3,26401.33167,BTC,Binance CSV
29-03-2018,7949.3,7975.0,6941.11,7090.14,54620.915125,BTC,Binance CSV
30-03-2018,7090.16,7292.43,6600.1,6840.23,65306.031976,BTC,Binance CSV
31-03-2018,6840.24,7223.36,6777.0,6923.91,36868.539087,BTC,Binance CSV
01-04-2018,6922.0,7049.98,6430.0,6813.01,44071.430463,BTC,Binance CSV
02-04-2018,6813.01,7125.0,6765.0,7056.0,32123.560072,BTC,Binance CSV
03-04-2018,7063.97,7520.0,7011.01,7405.21,37787.331811,BTC,Binance CSV
04-04-2018,7405.21,7427.52,6707.0,6796.1,42227.183804,BTC,Binance CSV
05-04-2018,6796.1,6902.0,6566.69,6770.76,39029.73146,BTC,Binance CSV
06-04-2018,6770.0,6850.0,6500.0,6601.39,27455.01192,BTC,Binance CSV
07-04-2018,6601.39,7070.0,6586.28,6895.8,32269.578267,BTC,Binance CSV
08-04-2018,6895.81,7109.13,6880.0,7018.0,21427.673165,BTC,Binance CSV
09-04-2018,7011.04,7185.0,6611.0,6782.72,34078.297206,BTC,Binance CSV
10-04-2018,6781.55,6890.0,6656.0,6843.9,22326.728095,BTC,Binance CSV
11-04-2018,6839.56,6990.0,6787.0,6953.79,23997.871177,BTC,Binance CSV
12-04-2018,6953.78,8012.23,6743.2,7923.0,64861.595987,BTC,Binance CSV
13-04-2018,7922.99,8233.39,7732.0,7877.41,55044.523148,BTC,Binance CSV
14-04-2018,7877.48,8186.0,7810.0,7999.01,31621.286357,BTC,Binance CSV
15-04-2018,8004.0,8429.54,7999.02,8355.0,27946.720444,BTC,Binance CSV
16-04-2018,8355.07,8419.0,7867.0,8064.92,36664.069715,BTC,Binance CSV
17-04-2018,8064.92,8173.7,7825.4,7885.02,32152.603567,BTC,Binance CSV
18-04-2018,7890.96,8236.43,7868.0,8173.0,26969.04457,BTC,Binance CSV
19-04-2018,8173.99,8296.0,8080.0,8278.0,27113.847464,BTC,Binance CSV
20-04-2018,8273.84,8930.0,8177.09,8856.98,39795.337485,BTC,Binance CSV
21-04-2018,8852.12,9035.0,8565.0,8915.31,40872.229909,BTC,Binance CSV
22-04-2018,8915.31,9020.67,8727.68,8787.02,29458.25348,BTC,Binance CSV
23-04-2018,8785.7,8985.0,8745.0,8934.01,25838.114709,BTC,Binance CSV
24-04-2018,8934.0,9731.01,8922.0,9619.99,46268.790106,BTC,Binance CSV
25-04-2018,9618.96,9759.82,8730.0,8869.99,81110.037589,BTC,Binance CSV
26-04-2018,8869.99,9307.48,8651.62,9266.0,43300.304245,BTC,Binance CSV
27-04-2018,9267.03,9395.0,8889.0,8915.35,37241.347036,BTC,Binance CSV
28-04-2018,8915.35,9427.48,8870.0,9348.0,34759.62842,BTC,Binance CSV
29-04-2018,9348.0,9570.51,9163.74,9419.0,38149.850035,BTC,Binance CSV
30-04-2018,9417.04,9458.64,9124.99,9246.01,35002.033875,BTC,Binance CSV
01-05-2018,9246.01,9248.99,8800.49,9071.48,41018.463633,BTC,Binance CSV
02-05-2018,9071.48,9268.0,8970.2,9247.84,26123.543961,BTC,Binance CSV
03-05-2018,9247.81,9844.0,9168.4,9750.0,38768.388288,BTC,Binance CSV
04-05-2018,9750.0,9830.04,9520.85,9713.99,28681.588879,BTC,Binance CSV
05-05-2018,9714.0,10020.0,9682.0,9864.0,24990.018345,BTC,Binance CSV
06-05-2018,9863.99,9970.0,9417.03,9659.01,27690.351559,BTC,Binance CSV
07-05-2018,9661.02,9689.67,9181.0,9365.0,33787.640012,BTC,Binance CSV
08-05-2018,9365.0,9475.7,9060.54,9187.56,25533.831889,BTC,Binance CSV
09-05-2018,9178.0,9390.0,8965.0,9310.0,25673.524899,BTC,Binance CSV
10-05-2018,9310.0,9395.12,8970.0,9002.2,25055.063718,BTC,Binance CSV
11-05-2018,9002.21,9016.8,8341.0,8400.0,48227.048061,BTC,Binance CSV
12-05-2018,8405.94,8646.88,8153.0,8465.94,40241.32081,BTC,Binance CSV
13-05-2018,8475.44,8763.36,8298.0,8679.71,25632.869362,BTC,Binance CSV
14-05-2018,8679.71,8879.99,8277.0,8663.34,37389.666533,BTC,Binance CSV
15-05-2018,8663.37,8859.99,8401.3,8462.0,28126.956136,BTC,Binance CSV
16-05-2018,8462.0,8488.0,8083.01,8330.0,31130.718908,BTC,Binance CSV
17-05-2018,8330.0,8464.0,7979.0,8041.46,25439.844799,BTC,Binance CSV
18-05-2018,8038.82,8273.21,7911.9,8239.81,23476.158251,BTC,Binance CSV
19-05-2018,8238.01,8390.8,8095.73,8233.49,17193.424276,BTC,Binance CSV
20-05-2018,8233.49,8609.0,8163.9,8526.98,19957.057109,BTC,Binance CSV
21-05-2018,8526.97,8595.31,8305.0,8381.24,21516.596486,BTC,Binance CSV
22-05-2018,8386.89,8400.18,7935.11,7977.11,23710.902858,BTC,Binance CSV
23-05-2018,7977.12,8031.9,7425.0,7501.95,42910.666774,BTC,Binance CSV
24-05-2018,7501.95,7730.73,7266.99,7575.01,37845.446595,BTC,Binance CSV
25-05-2018,7578.99,7649.55,7308.15,7457.0,26739.95664,BTC,Binance CSV
26-05-2018,7456.99,7620.0,7300.0,7333.96,19464.086071,BTC,Binance CSV
27-05-2018,7334.0,7400.0,7231.11,7338.99,18706.945515,BTC,Binance CSV
28-05-2018,7338.99,7437.0,7058.02,7099.0,27219.438963,BTC,Binance CSV
29-05-2018,7099.0,7540.0,7032.95,7461.29,39407.21183,BTC,Binance CSV
30-05-2018,7467.98,7569.0,7260.5,7375.96,32041.583623,BTC,Binance CSV
31-05-2018,7382.07,7699.0,7327.51,7485.01,30776.063102,BTC,Binance CSV
01-06-2018,7485.01,7608.55,7355.54,7521.01,28259.124078,BTC,Binance CSV
02-06-2018,7521.01,7697.33,7437.0,7640.03,26720.690219,BTC,Binance CSV
03-06-2018,7636.81,7786.69,7600.0,7714.26,27505.158951,BTC,Binance CSV
04-06-2018,7714.26,7760.52,7446.5,7487.0,32258.835115,BTC,Binance CSV
05-06-2018,7487.0,7679.49,7358.0,7625.0,31722.973384,BTC,Binance CSV
06-06-2018,7626.64,7699.0,7467.05,7658.84,27229.991898,BTC,Binance CSV
07-06-2018,7658.79,7765.0,7620.0,7691.08,25062.227202,BTC,Binance CSV
08-06-2018,7691.08,7703.5,7531.0,7603.44,23396.804671,BTC,Binance CSV
09-06-2018,7603.44,7683.98,7450.0,7491.73,19339.885176,BTC,Binance CSV
10-06-2018,7491.73,7491.73,6622.81,6764.99,52342.020032,BTC,Binance CSV
11-06-2018,6765.0,6922.0,6610.0,6872.0,34552.162303,BTC,Binance CSV
12-06-2018,6872.0,6890.51,6435.0,6530.0,36722.211191,BTC,Binance CSV
